RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[9],['B'],[True],[595.5764460558388],[601.2838089325131],[604.9536254348442],[609.131601176806],[611.8760598685792],[611.8760598685792],[805.5928334808391],[808.7050328504619],[808.7050328504619],[813.266079229959],[818.9734421066333]
[9],['A'],[False],[106.84795027869662],[131.70710931516822],[193.68293658688677],[199.20092405025318],[202.30648048427705],[211.0442627936855],[791.2337354008373],[793.7085513270814],[793.7085513270814],[799.2827852747325],[824.1419443112042]
[9],['A'],[False],[99.07917122962812],[128.7174368162104],[188.93888551918968],[194.03864029523632],[196.6136177021949],[209.48649344410055],[790.4199396334257],[793.3921952880927],[793.3921952880927],[798.1521430921727],[827.7904086787549]
[9],['A'],[True],[74.01258770962303],[109.2662426459712],[156.210982982707],[162.83296495855717],[166.11696576430415],[166.11696576430415],[783.6997590639103],[787.2436001435341],[787.2436001435341],[793.3106948590116],[828.5643497953598]
[9],['B'],[False],[298.52976961740285],[325.1203776146488],[325.1203776146488],[330.1367966660123],[333.8219688231617],[342.61667690906313],[799.3893526941379],[801.613417156716],[801.613417156716],[807.4795451031638],[834.0701531004098]
[9],['B'],[True],[619.7096477982841],[633.8640802891653],[633.8640802891653],[639.3084953017079],[642.89720564978],[642.89720564978],[812.3513961890553],[815.1194623640695],[815.1194623640695],[821.2344020361969],[835.3888345270781]
[9],['A'],[False],[106.78464927809058],[131.1765462102898],[192.24040219202607],[198.375351893494],[201.29843876112875],[208.85048686363072],[809.3844345376285],[811.7513112501281],[811.7513112501281],[817.3832033795155],[841.7751003117147]
[9],['B'],[True],[609.118462532126],[627.1814716230987],[628.6818625792092],[633.858071252547],[636.1446553377125],[636.1446553377125],[816.6918389051702],[819.8536007492344],[819.8536007492344],[825.4131619547625],[843.4761710457351]
[9],['A'],[True],[80.59691816442097],[103.15887490468938],[146.4101393200193],[152.79413222940894],[155.83256631006307],[155.83256631006307],[818.0508963261317],[820.9869828138812],[820.9869828138812],[825.9904008218695],[848.5523575621379]
[9],['A'],[True],[86.57576282623053],[112.54558055648369],[160.2112597598182],[164.66280120756716],[168.2128239428822],[168.2128239428822],[814.2591452564586],[816.8839282567675],[816.8839282567675],[824.4722319234041],[850.4420496536573]
