RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[5],['A'],[True],[90.6078827223751],[114.71612255260027],[139.48052344891644],[144.3230341442271],[147.4311029116913],[147.4311029116913],[703.442481034512],[706.1573188770183],[706.1573188770183],[712.1222778045344],[736.2305176347596]
[5],['A'],[True],[42.755755306300756],[68.7491039690747],[80.32957181793044],[85.04036902317957],[88.47949829800791],[88.47949829800791],[704.6430622042994],[706.9753343740501],[707.1929957990404],[712.0213871022072],[738.0147357649812]
[5],['A'],[True],[46.554983184338724],[84.83517015678005],[99.2155878151867],[104.69072640630138],[106.97484705527533],[106.97484705527533],[692.5985570593647],[695.4645729625746],[695.4645729625746],[700.1063032687888],[738.3864902412301]
[5],['A'],[True],[69.20816195424888],[102.7047483072468],[123.30285180876177],[129.66768157902735],[133.4936046734703],[133.4936046734703],[697.7066339498443],[700.8463346985667],[700.8463346985667],[705.9819899638011],[739.478576316799]
[5],['A'],[True],[104.29629029492669],[121.4736983061976],[153.69402196789142],[159.31991624355894],[161.8662725188223],[161.8662725188223],[707.7986612381806],[711.2619192090266],[717.2958017849483],[722.6373651275134],[739.8147731387843]
[5],['A'],[True],[35.50064078873563],[45.648812144214546],[54.440405271662414],[60.16672302493917],[62.904669177224655],[62.904669177224655],[714.9531762405594],[717.5189251458366],[723.0666826360712],[730.0060665612679],[740.1542379167468]
[5],['A'],[True],[100.91341862425567],[115.50555818188684],[141.573692613388],[147.16198607253443],[150.6668009912774],[150.6668009912774],[709.4544765013575],[712.0669798565038],[720.3460581027617],[726.2919783546733],[740.8841179123045]
[5],['A'],[True],[91.07007144940265],[117.57678722040956],[147.16198607253443],[152.89158051851126],[155.42764557898707],[155.42764557898707],[704.6662586762443],[708.391183637049],[710.1505395434089],[717.2958017849483],[743.8025175559552]
[5],['A'],[True],[80.20005712382584],[105.43896694964639],[127.16553567401674],[131.60094849599653],[133.78798058505132],[133.78798058505132],[707.1854308192864],[710.0419663943306],[712.1222778045344],[719.12808909869],[744.3669989245105]
[5],['A'],[True],[51.30227299016056],[76.02650154149626],[88.17860677912833],[94.22725926701379],[97.73201914072344],[97.73201914072344],[707.4310768320595],[710.5019823181694],[715.3371627402535],[720.3460581027617],[745.0702866540975]
[5],['A'],[True],[56.87635379039421],[85.86932942613598],[100.5219769807435],[107.27059247374171],[110.73107496764453],[110.73107496764453],[707.2421883684233],[709.84744282835],[712.0213871022072],[718.2855262673157],[747.2785019030575]
[5],['A'],[True],[40.093670427898],[61.31716899868243],[65.56245860625761],[70.58497594096042],[73.3811202020469],[73.3811202020469],[709.016884385972],[712.564962607558],[722.6373651275134],[727.0281514504123],[748.2516500211967]
[5],['A'],[True],[0],[38.02287673887492],[40.737558763985376],[47.21397487170532],[50.3465047188017],[50.3465047188017],[705.3302043236795],[708.1918873635916],[708.1918873635916],[715.3371627402535],[753.3600394791284]
[5],['A'],[False],[118.38966880842965],[141.23705652744493],[176.9524054399374],[182.8595322107739],[186.42056276896335],[195.88831362185076],[718.0938901793706],[720.6378311247954],[727.0281514504123],[732.1764358111504],[755.0238235301657]
[5],['A'],[True],[75.08376406787318],[93.72129676855681],[110.44133042160654],[115.35416839908224],[117.79531828839806],[117.79531828839806],[719.7013500450435],[722.3970642428892],[732.0810521811511],[737.4128660201377],[756.0503987208214]
[5],['B'],[True],[507.6018034590089],[528.4799617428392],[528.4799617428392],[534.887954328621],[537.1866020505623],[537.1866020505623],[719.2492441497849],[722.1796080389935],[730.317097236487],[735.4956626627408],[756.3738209465711]
[5],['A'],[False],[111.18713876466161],[130.56634062374758],[170.1443480148844],[174.8676135887955],[178.1236684847673],[185.5764441378999],[723.0799838817732],[726.096471546601],[737.4128660201377],[741.7208041406125],[761.1000059996984]
[5],['A'],[True],[56.24284362973957],[85.30978532991223],[100.41642048496844],[107.05290007688559],[110.03947270958886],[110.03947270958886],[717.4800024850938],[720.6206622753004],[726.2919783546733],[732.0810521811511],[761.1479938813238]
[5],['A'],[True],[101.54282520093113],[132.60316005993573],[173.25898268167754],[178.73021903144027],[181.43786009180047],[181.43786009180047],[715.1452716992599],[718.3706243894044],[724.4519782111596],[730.317097236487],[761.3774320954916]
[5],['A'],[True],[3.3584357480323512],[28.300313177188436],[28.300313177188436],[34.65963630384518],[37.42960287230691],[37.42960287230691],[719.8677956278359],[722.5928076418181],[732.1764358111504],[737.5216115974692],[762.4634890266253]
[5],['A'],[False],[99.64808121451907],[127.17785047932657],[164.4044884315262],[171.74926125885605],[174.68233684081906],[180.49901212093545],[717.3996393269122],[720.8409252610937],[730.0060665612679],[736.120367698552],[763.6501369633595]
[5],['A'],[True],[98.54429372429496],[117.78212004454481],[148.43178616536213],[153.69402196789142],[155.99401289264594],[155.99401289264594],[722.8373523044799],[726.6037700401196],[737.5216115974692],[744.9942729740089],[764.2320992942588]
[5],['B'],[False],[461.7746386000689],[471.88863986063313],[471.88863986063313],[478.3910242352503],[481.090176300389],[489.44530368378844],[731.4210230181656],[734.5129926920208],[749.981506212388],[756.4776307260777],[766.5916319866419]
[5],['B'],[True],[499.3644908831967],[516.7383979226881],[516.7383979226881],[523.2422810622758],[526.1384961442247],[526.1384961442247],[729.0529548161198],[732.1063572669684],[744.9942729740089],[749.981506212388],[767.3554132518794]
[5],['B'],[True],[532.0842227509892],[551.3216466565453],[551.3216466565453],[557.911301694343],[560.6759914803816],[560.6759914803816],[728.5835790802078],[732.1504609160468],[746.6337202454446],[751.8371671880624],[771.0745910936186]
[5],['A'],[True],[76.5903905047495],[100.80041244740653],[118.40317237809882],[124.25596600279452],[127.18445262128108],[127.18445262128108],[726.3075523334264],[729.1676653257165],[741.0586799438852],[747.4326003595235],[771.6426223021805]
[5],['A'],[True],[72.97853573980981],[98.2072686857206],[116.9148659970874],[123.30285180876177],[126.21511347127023],[126.21511347127023],[727.8642866924895],[730.5215846755665],[741.3840105222702],[746.6337202454446],[771.8624531913554]
[5],['A'],[True],[75.13481914173774],[89.12403563370735],[107.05290007688559],[111.77106563809534],[115.54913369959264],[115.54913369959264],[734.1994055913624],[737.2990557205661],[752.8670118045436],[758.0340649092796],[772.0232814012492]
[5],['A'],[True],[51.15722639876081],[102.20342589754996],[121.36155298727193],[127.16553567401674],[130.12938409422313],[130.12938409422313],[709.1689555229657],[711.8780508124948],[718.2855262673157],[723.0666826360712],[774.1128821348603]
[5],['A'],[False],[112.78032062752872],[129.8276833977556],[168.0477386177327],[173.25898268167754],[177.2126867441083],[187.83515650131858],[735.9578259118992],[738.4867838100215],[754.2684675465337],[759.8087476779026],[776.8561104481295]
[5],['A'],[True],[55.06251476718343],[96.33729470988843],[115.35416839908224],[120.65202848359085],[123.53388655111203],[123.53388655111203],[722.3903625773388],[725.8868024268357],[736.120367698552],[741.3840105222702],[782.6587904649751]
[5],['A'],[True],[17.023988014572843],[53.775744388170246],[57.78785425690426],[63.80401886859069],[67.09241070927727],[67.09241070927727],[727.8905051916697],[731.5004843556769],[741.7208041406125],[746.8912654286326],[783.6430218022299]
[5],['A'],[True],[91.29066373723451],[122.89846207164427],[155.59008630358068],[162.9097264090203],[166.46002969174742],[166.46002969174742],[730.7298390226426],[733.6861943685263],[747.4326003595235],[754.2684675465337],[785.8762658809434]
[5],['A'],[True],[35.36761840105753],[57.92568370550646],[63.80401886859069],[68.65465154062076],[71.29703692146491],[71.29703692146491],[741.9305567470403],[745.2678700032171],[759.8087476779026],[765.2132584639877],[787.7713237684367]
[5],['A'],[True],[28.73004994742162],[76.58426470620236],[88.25828715649111],[93.82823526391235],[97.12128953879397],[97.12128953879397],[723.1167313995031],[725.6251652212128],[735.4956626627408],[741.0586799438852],[788.9128947026659]
[5],['A'],[True],[99.05181548346404],[126.62925614704514],[162.9097264090203],[168.0477386177327],[170.47878301363266],[170.47878301363266],[735.2436375369884],[738.7700066675104],[756.4776307260777],[761.4233356097584],[789.0007762733395]
[5],['A'],[True],[79.66481603757066],[112.06429329494534],[136.686300091714],[141.17781104197365],[144.08194107439076],[144.08194107439076],[732.61219869547],[735.6208624120345],[751.8371671880624],[756.69632363167],[789.0958008890447]
[5],['A'],[True],[104.31497326807218],[117.62159103946915],[147.49978978061503],[153.12584316798285],[156.13892894747454],[156.13892894747454],[765.0895144341957],[767.7135307025683],[771.1229765448077],[776.8703848401091],[790.177002611506]
[5],['A'],[True],[47.135303079759716],[74.73769677451747],[87.70549465582282],[94.85496673019631],[97.48073354762067],[97.48073354762067],[747.1599093070299],[750.1297784132591],[763.7835723154492],[769.3660608536578],[796.9684545484156]
[5],['A'],[True],[89.72481903166968],[116.00188780220543],[142.46864676729265],[148.43178616536213],[151.12256732808277],[151.12256732808277],[755.3571325345663],[758.594544982305],[766.4341833630419],[772.2015183804361],[798.4785871509719]
[5],['B'],[True],[12.16046747151853],[33.74571617077973],[34.65963630384518],[39.66674082877479],[42.940233254574025],[42.940233254574025],[766.7501243430193],[770.2498484921034],[772.2015183804361],[777.9938002468582],[799.5790489461194]
[5],['A'],[True],[96.16379974681216],[126.59796329509759],[159.31991624355894],[164.4044884315262],[166.928887001184],[166.928887001184],[747.9540329416686],[751.4689264032961],[764.9804413027762],[771.1229765448077],[801.5571400930932]
[5],['B'],[True],[625.7615895715631],[646.067055460442],[646.5879538410956],[651.3984862714507],[653.8423712901388],[653.8423712901388],[770.2720728520513],[773.1001216313524],[776.8703848401091],[782.384432934235],[802.6898988231138]
[5],['A'],[False],[117.96961160478067],[146.83425252189338],[182.8595322107739],[187.2275932894699],[189.91570203169996],[197.30698916389798],[757.0323414341087],[760.2366801175609],[769.3660608536578],[774.8559514939831],[803.7205924110958]
[5],['A'],[True],[87.56193947015139],[106.62656396002251],[129.66768157902735],[134.95323096932174],[137.361550571008],[137.361550571008],[776.4422783611521],[779.281608483265],[779.5276938982],[784.8355629557408],[803.9001874456119]
[5],['B'],[True],[590.3037091229277],[617.8236576805374],[617.8236576805374],[625.1166115098147],[628.0944952372034],[628.0944952372034],[768.5902532035798],[771.5113316994627],[772.794870180822],[778.3045694124079],[805.8245179700176]
[5],['B'],[True],[564.1121532988601],[584.2668164770927],[584.2668164770927],[591.1425505122493],[595.0467037413736],[595.0467037413736],[780.891748869542],[784.55551533761],[784.55551533761],[790.579133192252],[810.7337963704846]
[5],['A'],[True],[76.26382708646145],[111.24308978083917],[134.95323096932174],[141.573692613388],[143.97420240885992],[143.97420240885992],[769.5823246516657],[772.2777443952069],[774.8559514939831],[779.5276938982],[814.5069565925777]
[5],['A'],[False],[80.33746337367208],[132.33508182373674],[171.74926125885605],[176.9524054399374],[179.58094813692125],[185.68644480751698],[740.3042485597293],[743.1641284559427],[758.0340649092796],[764.9804413027762],[816.9780597528409]
[5],['A'],[True],[77.4125539901221],[115.4512140995224],[141.17781104197365],[147.49978978061503],[150.62253105243565],[150.62253105243565],[773.9720532878197],[777.0279387320169],[778.3045694124079],[783.3970946946941],[821.4357548040945]
[5],['A'],[False],[110.58561827373731],[151.17784652958707],[183.32954864026829],[189.2844201571023],[192.91289392019502],[201.11874639991015],[772.8536068377864],[776.2023468464132],[777.9938002468582],[783.6279577129395],[824.2201859687893]
[5],['A'],[False],[105.02365132298969],[142.6188836070076],[181.8149726211243],[186.64800785032932],[190.00166539988265],[195.70478449920347],[778.8510308539029],[781.2667184689875],[782.384432934235],[787.6581593623254],[825.2533916463433]
[5],['B'],[True],[611.0787653320577],[647.5280805813534],[651.3984862714507],[657.4828044625679],[660.6561667472139],[660.6561667472139],[791.6838323024047],[794.9088022530412],[794.9088022530412],[799.7924915471795],[836.2418067964751]
[5],['A'],[False],[114.09766093927392],[142.0179563646914],[178.73021903144027],[183.32954864026829],[186.74721167632674],[199.16033579264018],[806.0253646132032],[809.7391202388156],[809.7391202388156],[814.7814344242704],[842.7017298496879]
[5],['A'],[True],[89.07823851413117],[116.3640850774679],[144.3230341442271],[149.71139195128754],[152.64605997576834],[152.64605997576834],[810.7252486910814],[814.2086744762709],[814.2086744762709],[820.6763233181451],[847.9621698814818]
[5],['A'],[False],[117.768910311994],[136.9605142002611],[174.8676135887955],[181.8149726211243],[184.50477511958331],[199.57589636587338],[821.6952458024887],[824.0772981593298],[824.0772981593298],[830.8356314506526],[850.0272353389197]
[5],['B'],[True],[311.7043108270094],[324.78458100769586],[324.78458100769586],[330.21988171839246],[332.70988817377446],[332.70988817377446],[844.5763524290024],[847.2432975002134],[847.2432975002134],[854.2945121687096],[867.3747823493961]
[5],['A'],[True],[77.3956285471468],[117.8569053680657],[149.71139195128754],[155.59008630358068],[158.08677765301107],[158.08677765301107],[840.0999095799978],[843.5233250975662],[843.5233250975662],[848.0573678457841],[888.518644666703]
[5],['A'],[False],[84.15097231238572],[131.0956491461458],[170.4844414205669],[176.95136803942006],[179.9553616916816],[189.76451667493475],[834.7179645832514],[837.6470504241132],[837.6470504241132],[845.164748632101],[892.1094254658611]
[5],['A'],[False],[119.93092712868734],[138.90267925411263],[176.95136803942006],[183.4196782619819],[186.6467061787195],[190.86435534357753],[867.02034456805],[869.320293745069],[869.320293745069],[875.539109115378],[894.5108612408033]
[5],['B'],[True],[718.2011774430279],[742.8642731494883],[756.69632363167],[763.7835723154492],[767.6055752192917],[767.6055752192917],[861.5969695438985],[864.4255572362132],[864.4255572362132],[871.0649362810537],[895.7280319875142]
[5],['B'],[True],[698.1816511471347],[733.0264304365729],[746.8912654286326],[752.8670118045436],[755.7895837495076],[755.7895837495076],[859.3879278848063],[862.6555427511572],[862.6555427511572],[867.7521221743103],[902.5969014637485]
[5],['B'],[True],[619.7702985915957],[635.0373262428943],[635.6535466038598],[640.2808116236297],[643.0836007341529],[643.0836007341529],[900.6540189726827],[904.0853306226733],[904.0853306226733],[909.5479035436397],[924.8149311949383]
[5],['B'],[True],[686.9329227566277],[711.9383349254936],[719.12808909869],[724.4519782111596],[726.6555859117165],[726.6555859117165],[902.8207928100861],[905.67944443404],[905.67944443404],[911.3914581389637],[936.3968703078295]
[5],['B'],[True],[711.6576637168502],[747.1827298084416],[761.4233356097584],[766.4341833630419],[769.8719921894632],[769.8719921894632],[910.2369035325185],[912.8256401981022],[912.8256401981022],[919.4399638313972],[954.9650299229887]
[6],['B'],[True],[0],[20.922982839170977],[23.479753162639422],[28.11618656188074],[31.449585182430315],[31.449585182430315],[125.3780269038942],[128.70317047092314],[163.0099966801602],[169.69761211763984],[190.6205949568108]
[6],['B'],[True],[44.30870806506094],[61.61257083398425],[79.61882045742178],[85.49006115101601],[88.92396237117075],[88.92396237117075],[177.85336259280012],[180.8169645234911],[183.24528725583332],[188.4711557859391],[205.7750185548624]
[6],['B'],[False],[141.3738144776975],[158.30746990056417],[180.81835312493132],[185.0763366521493],[188.13735371499507],[195.76606259140092],[228.37679572947152],[231.17538998142905],[231.17538998142905],[235.6213966059286],[252.55505202879527]
[6],['B'],[True],[47.74489722685187],[84.1185475362795],[110.7206653225482],[115.36410188091372],[118.55145419626464],[118.55145419626464],[210.95697364612943],[214.68503780636533],[214.68503780636533],[219.54520839758038],[255.918858707008]
[6],['B'],[True],[72.19216230896421],[83.73624362872376],[110.64547753522075],[116.01223841501879],[118.46833739423408],[118.46833739423408],[253.33805625264048],[256.4301641708225],[256.4301641708225],[262.7876264668526],[274.3317077866121]
[6],['B'],[False],[153.21971394192036],[196.01461073927595],[196.01461073927595],[201.15694693311437],[204.63352368500634],[215.10484250600462],[235.75208567744826],[237.97276759927266],[237.97276759927266],[243.82386746816582],[286.6187642655214]
[6],['B'],[True],[32.73865436250695],[54.3938842478898],[68.56578611518651],[73.55036974341053],[76.50077562057704],[76.50077562057704],[263.68846932649427],[267.29019987855],[267.29019987855],[273.5480332909494],[295.2032631763322]
[6],['B'],[False],[201.29564732483402],[228.33505622522458],[228.33505622522458],[233.38779620320113],[235.8662854046567],[243.97187036109747],[291.5983981080925],[294.4280015705045],[294.4280015705045],[300.41424434684325],[327.4536532472338]
[6],['B'],[False],[192.07121446111674],[212.45095265349678],[212.45095265349678],[219.69037199815378],[222.98287413533993],[235.73538253985066],[298.2769136409919],[301.57504384866434],[301.57504384866434],[308.19572676941635],[328.5754649617964]
[6],['B'],[True],[74.64870856872591],[92.41477432510565],[128.12901742574567],[134.13324338856776],[137.3384377396872],[137.3384377396872],[311.43201128394554],[314.54779987410086],[314.54779987410086],[320.5769300632768],[338.34299581965655]
[6],['B'],[True],[18.969772733997722],[40.27254327364767],[40.27254327364767],[45.52422673456949],[48.32407246235716],[48.32407246235716],[337.59193499261164],[340.18748334863074],[340.18748334863074],[345.07213549056405],[366.374906030214]
[6],['B'],[False],[208.65815045346596],[231.20557574899345],[231.20557574899345],[236.40583412838714],[238.66239519452165],[244.74396067016326],[363.05031691545105],[366.13988473068883],[366.13988473068883],[372.7240423834085],[395.271467678936]
[6],['B'],[True],[227.24534005608433],[249.10450294056702],[249.10450294056702],[255.19146073589823],[258.91101545676133],[258.91101545676133],[366.73339863451974],[369.3780158090077],[369.3780158090077],[374.8998245756531],[396.7589874601358]
[6],['B'],[False],[247.00599355899607],[259.8478910093503],[259.8478910093503],[265.2423367388141],[267.6584878606249],[274.2365619652844],[424.20056538341237],[427.28934978012285],[427.28934978012285],[433.2153319379125],[446.0572293882667]
[6],['B'],[False],[266.7595182859243],[280.814597475335],[280.814597475335],[286.48618883150925],[289.3613876485768],[293.7848940555271],[428.56277858189014],[431.2446479985623],[431.2446479985623],[435.6704887023396],[449.7255678917503]
[6],['B'],[True],[339.5549763617564],[356.7141123440151],[356.7141123440151],[362.30670131724787],[365.4442744792861],[365.4442744792861],[428.75650838091497],[432.0901027373912],[432.0901027373912],[437.47760310664904],[454.63673908890775]
[6],['B'],[True],[241.58081834732783],[256.89417687034233],[256.89417687034233],[262.85046505725643],[265.21999927234936],[265.21999927234936],[438.57735021417284],[442.0471633477982],[442.0471633477982],[446.86479264968625],[462.1781511727007]
[6],['B'],[False],[175.117268514245],[202.69366954469376],[202.69366954469376],[208.57774797151012],[211.7498819465882],[225.1397234169816],[429.1660330612664],[431.44246427303153],[431.44246427303153],[435.7536460078582],[463.330047038307]
[6],['B'],[True],[88.11475423005818],[103.32438667888948],[143.07844605416474],[147.7118101695897],[150.472035173406],[150.472035173406],[442.0043976383174],[445.43971656253893],[445.43971656253893],[450.30558298520106],[465.51521543403237]
[6],['A'],[True],[2.5426313400933975],[18.521815921274154],[18.521815921274154],[24.144354465741706],[27.403117445000042],[27.403117445000042],[453.3549564283371],[456.5484418653837],[456.5484418653837],[463.47895870825835],[479.4581432894391]
[6],['B'],[False],[191.096416054764],[232.65436165357318],[232.65436165357318],[239.34110161340269],[242.21019300115822],[256.4399739796125],[434.3435879541605],[437.0614853458957],[437.0614853458957],[442.0098095598169],[483.5677551586261]
[6],['B'],[True],[349.29031353611646],[375.4482838248623],[375.4482838248623],[381.6703779443816],[384.9373010438881],[384.9373010438881],[474.61018379522085],[476.9450692575786],[476.9450692575786],[483.271973966458],[509.42994425520385]
[6],['B'],[True],[347.2558038445972],[370.52723678712744],[370.52723678712744],[375.1828169680412],[377.8053417603425],[377.8053417603425],[482.6612273343239],[486.19169479545184],[486.19169479545184],[492.1202910328888],[515.391723975419]
[6],['B'],[False],[169.38076641880653],[211.82654015780003],[211.82654015780003],[216.70734541188833],[220.4246642058185],[225.8841909642081],[481.17506658520983],[484.21497082962424],[484.21497082962424],[491.8494738012403],[534.2952475402338]
[6],['A'],[True],[10.122476107343932],[28.0788084754783],[28.949119716613325],[35.86302441521066],[38.59912009478202],[38.59912009478202],[507.20563657870446],[510.60288847408725],[510.60288847408725],[517.9052819934136],[535.8616143615479]
[6],['B'],[True],[49.594227653869126],[59.568706707712565],[79.29531478015336],[86.33619701232283],[88.85300740668123],[88.85300740668123],[529.5255409033828],[532.7816839545081],[532.7816839545081],[537.6150190419261],[547.5894980957695]
[6],['A'],[True],[23.019573501525247],[58.09982661916824],[73.55036974341053],[79.61882045742178],[83.52363230986431],[83.52363230986431],[504.86652319673635],[507.8644396747513],[507.8644396747513],[514.3271881346528],[549.4074412522958]
[6],['B'],[True],[181.1597315787241],[203.64975643643106],[203.64975643643106],[208.46976666102813],[211.0014876357868],[211.0014876357868],[525.5658546048713],[528.8520254383591],[528.8520254383591],[533.6697228301754],[556.1597476878824]
[6],['B'],[False],[230.90996529316325],[241.65647879511076],[241.65647879511076],[246.8103505980625],[250.22351157155074],[262.3736824039047],[539.2264009367732],[542.035848900649],[542.035848900649],[547.9009113950779],[558.6474248970254]
[6],['A'],[True],[16.975841216619518],[34.13628510430283],[34.57987630435939],[40.18563452747785],[43.78516927025925],[43.78516927025925],[540.2313469437968],[543.272238043654],[543.272238043654],[549.6069232436602],[566.7673671313435]
[6],['A'],[True],[0.46024198485838325],[18.50405696015797],[18.50405696015797],[23.479753162639422],[25.69536912621068],[25.69536912621068],[541.5262399249905],[544.293842260899],[544.749843367148],[550.7101746756058],[568.7539896509054]
[6],['B'],[True],[458.8218412155119],[477.2368314464733],[477.2368314464733],[483.4220232932452],[486.5719350850248],[486.5719350850248],[551.3998796578228],[554.3354753199694],[554.3354753199694],[560.1714007143988],[578.5863909453602]
[6],['A'],[True],[23.01462818606816],[42.044485414142585],[45.04680365603749],[49.97697586912511],[52.80105050033514],[52.80105050033514],[553.4013874587005],[555.8701041420456],[555.8701041420456],[561.2672735382416],[580.2971307663161]
[6],['A'],[True],[14.653689324327745],[33.60192167109475],[33.923164388634056],[39.248330640247794],[42.00193681165811],[42.00193681165811],[554.4326818477499],[558.4119759882259],[558.4119759882259],[564.3690934098337],[583.3173257566007]
[6],['A'],[True],[0.9749566561825767],[27.106636220107692],[28.11618656188074],[33.16746222959027],[36.1391659726713],[36.1391659726713],[550.1717077856044],[553.0828058752872],[553.0828058752872],[558.9460885602971],[585.0777681242222]
[6],['B'],[True],[443.54621483355953],[480.37821831694384],[480.37821831694384],[486.79668272320555],[489.81950944428905],[489.81950944428905],[538.5422256188137],[541.2314736675328],[541.2314736675328],[548.4053157149634],[585.2373191983478]
[6],['A'],[True],[17.98738755254164],[50.59760568571412],[63.59924026704027],[68.56578611518651],[71.56315468650402],[71.56315468650402],[544.172891519456],[547.3145212538741],[547.9009113950779],[553.9413670421751],[586.5515851753476]
[6],['B'],[False],[120.66162428980681],[136.21242828604218],[169.7260482999345],[175.74706900790656],[179.4188719744878],[187.56465202756533],[565.7141124331472],[568.0780680778835],[568.0780680778835],[573.9801874760647],[589.5309914723]
[6],['A'],[True],[10.984090682961327],[35.837396025043276],[35.86302441521066],[42.6323078141664],[45.76747087272341],[45.76747087272341],[557.167782107124],[560.1964647402324],[560.1964647402324],[565.0631172114712],[589.9164225535532]
[6],['A'],[True],[9.451863091455772],[33.11966767899128],[33.16746222959027],[38.20788929030265],[41.20422036497764],[41.20422036497764],[564.1494231168093],[568.0287590458228],[568.0287590458228],[573.1419622576391],[596.8097668451746]
[6],['A'],[True],[27.391569783366652],[55.062471309811],[71.7092597658394],[78.0636402490235],[81.21704810219782],[81.21704810219782],[562.2008300272657],[565.3370015224809],[565.3370015224809],[571.039605103256],[598.7105066297004]
[6],['A'],[True],[17.644163843714328],[52.295725448555444],[66.41668759207263],[71.7092597658394],[75.38081663889183],[75.38081663889183],[558.8279155183835],[561.4085999766453],[561.4085999766453],[566.2599188657002],[600.9114804705414]
[6],['A'],[True],[11.930859041552168],[28.276367884733414],[29.62300111678453],[34.57987630435939],[37.51044586991134],[37.51044586991134],[580.7689825305532],[583.9527177613758],[583.9527177613758],[588.7958660295176],[605.1413748726989]
[6],['A'],[True],[33.51597233380731],[46.98632614103872],[54.55733736776295],[60.22435685179596],[62.8516129825902],[62.8516129825902],[584.7776933745853],[587.7369395070043],[587.7369395070043],[594.2345192028924],[607.7048730101238]
[6],['A'],[True],[0.05537935865837422],[19.205222974962453],[21.52002215949358],[28.949119716613325],[32.664224847883084],[32.664224847883084],[580.2436398281408],[583.5189640880783],[583.5189640880783],[589.7758616650585],[608.9257052813626]
[6],['A'],[True],[21.560337669362454],[43.4949625710177],[45.64650753126523],[50.06282237909791],[53.04305624722277],[53.04305624722277],[581.5158453079258],[584.3612349227237],[584.3612349227237],[589.272560070671],[611.2071849723263]
[6],['B'],[True],[472.6609048567141],[502.5800814157879],[502.5800814157879],[508.1346375264982],[511.278231350939],[511.278231350939],[576.5444330737563],[578.8928337125252],[578.8928337125252],[585.1459687431972],[615.0651453022709]
[6],['A'],[True],[27.41570678550836],[42.56409424073894],[45.52422673456949],[49.98543984038678],[53.15250686747819],[53.15250686747819],[592.280987641848],[595.2566978393805],[595.2566978393805],[601.8272071839898],[616.9755946392204]
[6],['A'],[True],[13.725081886999181],[37.3438235898516],[38.20788929030265],[45.64650753126523],[48.209952846233534],[48.209952846233534],[590.3196148316606],[593.4162471923321],[593.4162471923321],[598.2202380663418],[621.8389797691942]
[6],['A'],[True],[17.79051497321284],[40.48528687508772],[40.48528687508772],[45.04680365603749],[47.98089157477933],[47.98089157477933],[591.9045077009815],[595.2870646324943],[595.2870646324943],[599.8897389894618],[622.5845108913367]
[6],['A'],[True],[0],[19.14145364882593],[19.14145364882593],[26.44356569824457],[28.965815492036814],[28.965815492036814],[606.7664789374388],[609.1712384755488],[609.1712384755488],[614.1607225162836],[633.3021761651096]
[6],['A'],[True],[6.692892539220694],[24.7730983033605],[24.7730983033605],[29.62300111678453],[32.83282141772022],[32.83282141772022],[610.496304539155],[612.7490932791447],[612.7490932791447],[617.2868174052912],[635.367023169431]
[6],['A'],[True],[4.170923034521852],[46.195792369910166],[50.06282237909791],[54.28689338788594],[57.10529721755164],[57.10529721755164],[590.7709617163102],[593.7945566621712],[593.7945566621712],[598.1970048725352],[640.2218742079235]
[6],['A'],[True],[51.78344932602718],[63.56581909048388],[86.33619701232283],[93.06680441653491],[96.23596355770175],[96.23596355770175],[620.7661483973072],[624.1839176174007],[624.1839176174007],[629.100442450134],[640.8828122145907]
[6],['A'],[True],[11.53711507691024],[25.543329777617387],[26.44356569824457],[33.923164388634056],[37.042883787738624],[37.042883787738624],[616.3239855608938],[619.353114155647],[619.353114155647],[626.9169256647714],[640.9231403654785]
[6],['A'],[True],[70.02383056617602],[86.48269387225166],[121.69847172752421],[128.12901742574567],[131.0599215302971],[131.0599215302971],[628.937606116135],[631.8966674930049],[631.8966674930049],[636.8129138766832],[653.2717771827588]
[6],['A'],[True],[27.7553242515615],[48.167228875532075],[60.22435685179596],[66.11123294261357],[69.42218242204504],[69.42218242204504],[624.4503014117879],[627.0580155326282],[628.6842130275386],[635.1790572753885],[655.5909618993591]
[6],['A'],[True],[29.154513997159643],[58.48653170367172],[77.0750902487428],[82.52220740204689],[85.41682360256895],[85.41682360256895],[620.3840615979082],[623.9742902558806],[623.9742902558806],[628.6842130275386],[658.0162307340506]
[6],['A'],[True],[0.04398535440822578],[14.513315483572695],[14.513315483572695],[21.52002215949358],[24.641813509165573],[24.641813509165573],[635.9451929477946],[638.8261053191442],[638.8261053191442],[643.8815225584569],[658.3508526876215]
[6],['A'],[True],[64.74910075758598],[102.33174553489454],[141.0966844327052],[145.82591451470597],[148.3792766589615],[148.3792766589615],[611.4157594211092],[614.5287820168166],[614.5287820168166],[621.8472386842345],[659.4298834615431]
[6],['A'],[True],[14.74263576513704],[56.25245116634622],[72.72424852936197],[79.29531478015336],[81.61054787312555],[81.61054787312555],[611.838883393155],[614.8315202494225],[614.8315202494225],[619.5992916336397],[661.1091070348489]
[6],['A'],[True],[10.255410185952313],[44.177126480124926],[49.97697586912511],[55.660056298192984],[58.97586714704874],[58.97586714704874],[618.45952211066],[621.9627209915487],[621.9627209915487],[627.2259742028974],[661.14769049707]
